Epoch 1 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 2 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 3 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 4 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 5 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 6 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 7 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 8 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 9 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 10 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 11 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 12 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 13 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 14 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 15 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 16 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 17 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 18 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 19 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
Epoch 20 - Accuracy: 1.0000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Hits_at_k: nan, full_accuracy: 0.9987 
